word,num_rows,is_successful
grade,4,SUCCESS
sword,3,SUCCESS
BROOM,5,SUCCESS
neigh,4,SUCCESS
SHEET,4,SUCCESS
BOOZE,6,SUCCESS
MINIM,5,SUCCESS
leafy,4,SUCCESS
shawl,5,SUCCESS
sieve,6,FAIL
tweet,4,SUCCESS
urine,3,SUCCESS
WOUND,6,SUCCESS
heady,5,SUCCESS
slain,2,SUCCESS
TRUCK,5,SUCCESS
large,3,SUCCESS
MARCH,6,FAIL
SWAMI,4,SUCCESS
foray,4,SUCCESS
HORDE,6,FAIL
utter,6,SUCCESS
FORTY,3,SUCCESS
AMPLY,4,SUCCESS
holly,5,SUCCESS
extra,3,SUCCESS
REBEL,6,FAIL
posse,5,SUCCESS
decay,6,SUCCESS
flume,5,SUCCESS
FLAKE,5,SUCCESS
papal,6,FAIL
foyer,6,FAIL
ADEPT,3,SUCCESS
BROOK,3,SUCCESS
FROND,4,SUCCESS
ALOOF,5,SUCCESS
MEDAL,4,SUCCESS
DROVE,5,SUCCESS
SWEAT,3,SUCCESS
scale,3,SUCCESS
saute,2,SUCCESS
SNORE,5,SUCCESS
datum,3,SUCCESS
WAGON,6,SUCCESS
POOCH,4,SUCCESS
TWANG,4,SUCCESS
NOBLY,4,SUCCESS
frame,3,SUCCESS
stern,3,SUCCESS
blimp,5,SUCCESS
grown,6,SUCCESS
MUNCH,4,SUCCESS
GIANT,3,SUCCESS
SONAR,3,SUCCESS
GUSTY,6,FAIL
RHYME,4,SUCCESS
trial,6,FAIL
gland,5,SUCCESS
DITCH,4,SUCCESS
EVICT,5,SUCCESS
tubal,3,SUCCESS
RACER,6,SUCCESS
amble,4,SUCCESS
CLASP,2,SUCCESS
LLAMA,6,FAIL
guess,2,SUCCESS
circa,4,SUCCESS
donut,3,SUCCESS
proxy,4,SUCCESS
LATER,6,FAIL
RABID,6,FAIL
FAIRY,6,SUCCESS
GROAN,4,SUCCESS
GRAVY,4,SUCCESS
abuse,5,SUCCESS
VOUCH,5,SUCCESS
TANGO,4,SUCCESS
genre,4,SUCCESS
bacon,3,SUCCESS
bloke,4,SUCCESS
BLUFF,5,SUCCESS
spray,3,SUCCESS
these,4,SUCCESS
decal,5,SUCCESS
tardy,5,SUCCESS
feign,6,FAIL
obese,6,SUCCESS
small,5,SUCCESS
SIXTY,6,FAIL
DELVE,6,FAIL
ANIME,4,SUCCESS
spiky,4,SUCCESS
WORLD,3,SUCCESS
GLEAN,6,SUCCESS
odder,5,SUCCESS
racer,6,SUCCESS
comma,5,SUCCESS
DODGY,6,FAIL
badge,6,FAIL
STAMP,3,SUCCESS
waltz,6,FAIL
OLIVE,4,SUCCESS
GAUNT,5,SUCCESS
PETTY,6,SUCCESS
great,2,SUCCESS
virus,6,SUCCESS
COMMA,4,SUCCESS
SMASH,6,FAIL
debit,4,SUCCESS
SWASH,6,SUCCESS
fungi,4,SUCCESS
goose,5,SUCCESS
BRISK,3,SUCCESS
BRAVE,4,SUCCESS
ROYAL,5,SUCCESS
twirl,3,SUCCESS
radar,5,SUCCESS
FEWER,5,SUCCESS
SCENT,3,SUCCESS
PSALM,4,SUCCESS
chime,3,SUCCESS
biddy,6,SUCCESS
FLASH,4,SUCCESS
AMAZE,6,SUCCESS
nylon,3,SUCCESS
CANON,5,SUCCESS
birch,3,SUCCESS
GNOME,3,SUCCESS
phony,5,SUCCESS
SHACK,4,SUCCESS
conch,6,SUCCESS
clean,3,SUCCESS
CANOE,2,SUCCESS
KINKY,6,FAIL
USUAL,5,SUCCESS
GENIE,6,FAIL
ruddy,4,SUCCESS
PUBIC,6,SUCCESS
gavel,6,SUCCESS
FUNKY,6,FAIL
PROOF,6,FAIL
OPINE,5,SUCCESS
juicy,4,SUCCESS
lumen,4,SUCCESS
QUILT,6,SUCCESS
loose,5,SUCCESS
relic,3,SUCCESS
tuber,3,SUCCESS
putty,3,SUCCESS
DECAY,4,SUCCESS
WRECK,6,FAIL
qualm,6,FAIL
nasty,5,SUCCESS
UNTIL,3,SUCCESS
vocal,6,SUCCESS
MEATY,4,SUCCESS
PLATE,4,SUCCESS
HARSH,4,SUCCESS
ROAST,6,FAIL
BONGO,6,FAIL
CARRY,4,SUCCESS
fatty,5,SUCCESS
stuck,3,SUCCESS
cream,2,SUCCESS
BULGE,5,SUCCESS
medic,2,SUCCESS
QUERY,6,FAIL
ratty,6,SUCCESS
MINCE,3,SUCCESS
clump,4,SUCCESS
pizza,6,SUCCESS
SYRUP,6,SUCCESS
CHART,3,SUCCESS
OLDEN,4,SUCCESS
MOTOR,5,SUCCESS
GAFFE,6,SUCCESS
MIGHT,6,SUCCESS
SALAD,3,SUCCESS
chick,5,SUCCESS
ENTRY,3,SUCCESS
skunk,5,SUCCESS
TITLE,5,SUCCESS
BLOND,4,SUCCESS
BLUER,5,SUCCESS
dowdy,6,SUCCESS
UNFED,4,SUCCESS
cynic,4,SUCCESS
SCARY,4,SUCCESS
shaky,4,SUCCESS
borax,4,SUCCESS
overt,5,SUCCESS
satin,3,SUCCESS
ANGRY,3,SUCCESS
TIGER,3,SUCCESS
OVINE,4,SUCCESS
trade,3,SUCCESS
POLKA,5,SUCCESS
GROSS,5,SUCCESS
buxom,5,SUCCESS
ETUDE,6,FAIL
sonic,3,SUCCESS
being,6,SUCCESS
WREAK,4,SUCCESS
ULCER,5,SUCCESS
CHESS,6,FAIL
input,3,SUCCESS
winch,6,SUCCESS
squad,6,FAIL
BEZEL,5,SUCCESS
solid,3,SUCCESS
TERSE,6,FAIL
TIPSY,3,SUCCESS
ethic,3,SUCCESS
STONY,4,SUCCESS
quack,6,FAIL
BUSHY,5,SUCCESS
flier,5,SUCCESS
elope,5,SUCCESS
minor,6,SUCCESS
waste,6,FAIL
HOARD,4,SUCCESS
wiser,5,SUCCESS
COMET,3,SUCCESS
SPOIL,4,SUCCESS
viola,6,SUCCESS
WRONG,5,SUCCESS
blade,5,SUCCESS
ovary,6,FAIL
LURID,5,SUCCESS
DINGY,3,SUCCESS
condo,5,SUCCESS
GUSTO,6,FAIL
furor,5,SUCCESS
taunt,4,SUCCESS
ahead,6,FAIL
RESIN,4,SUCCESS
DRIFT,3,SUCCESS
quill,3,SUCCESS
forgo,4,SUCCESS
knave,5,SUCCESS
slump,3,SUCCESS
ruler,6,FAIL
SLING,3,SUCCESS
amaze,6,FAIL
spire,3,SUCCESS
RECUT,4,SUCCESS
HENCE,4,SUCCESS
funky,6,FAIL
purse,5,SUCCESS
TEACH,3,SUCCESS
HEFTY,4,SUCCESS
pixie,5,SUCCESS
FLIRT,3,SUCCESS
swear,6,FAIL
surer,6,FAIL
octal,5,SUCCESS
CHIEF,4,SUCCESS
ERODE,3,SUCCESS
suave,6,SUCCESS
SCRUM,4,SUCCESS
viper,6,SUCCESS
cliff,4,SUCCESS
usher,5,SUCCESS
WRACK,6,SUCCESS
PANIC,2,SUCCESS
AFFIX,6,FAIL
GIPSY,5,SUCCESS
ABLED,4,SUCCESS
jumpy,5,SUCCESS
LEVEL,6,SUCCESS
TEETH,6,FAIL
slack,4,SUCCESS
PALER,6,SUCCESS
freak,4,SUCCESS
PESKY,4,SUCCESS
mower,6,SUCCESS
LARVA,6,FAIL
wield,5,SUCCESS
TORUS,5,SUCCESS
BLOWN,5,SUCCESS
ORGAN,5,SUCCESS
serve,6,SUCCESS
gonad,6,FAIL
islet,3,SUCCESS
REVUE,6,FAIL
octet,6,FAIL
RESET,4,SUCCESS
WIELD,6,FAIL
setup,4,SUCCESS
ROUTE,3,SUCCESS
WAIVE,6,FAIL
genie,3,SUCCESS
hitch,4,SUCCESS
sally,6,FAIL
LEAST,3,SUCCESS
steak,4,SUCCESS
HONEY,3,SUCCESS
