processed_words,model_name,retry_count,turn_count,success_failure
urine,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,2,SUCCESS
HORDE,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,6,FAIL
REBEL,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,6,FAIL
decay,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,2,4,SUCCESS
FLAKE,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,8,6,FAIL
foyer,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,6,FAIL
ALOOF,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,3,6,FAIL
MEDAL,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,4,SUCCESS
WAGON,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,3,6,FAIL
GUSTY,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,2,6,FAIL
RACER,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,1,6,FAIL
RABID,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,4,SUCCESS
SIXTY,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,4,SUCCESS
ANIME,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,3,SUCCESS
COMMA,/mnt/ssd2/shreyansh/models/qwen3/exp_2025-08-02T22:07:18_qwen3_4b_fsdp_packing=ffd_flash_attn_fsdp2_torch_compile_dcp/epoch_5/step_final,0,5,SUCCESS
