processed_words,model_name,retry_count,turn_count,success_failure
regur,Qwen/Qwen3-4B,4,6,FAIL
inerm,Qwen/Qwen3-4B,12,6,FAIL
lunet,Qwen/Qwen3-4B,2,6,FAIL
gonks,Qwen/Qwen3-4B,2,6,FAIL
porky,Qwen/Qwen3-4B,1,6,FAIL
dicto,Qwen/Qwen3-4B,1,6,FAIL
temse,Qwen/Qwen3-4B,1,6,FAIL
tipup,Qwen/Qwen3-4B,8,6,FAIL
firry,Qwen/Qwen3-4B,0,6,FAIL
cured,Qwen/Qwen3-4B,4,6,FAIL
grith,Qwen/Qwen3-4B,0,6,FAIL
nills,Qwen/Qwen3-4B,4,6,FAIL
apsos,Qwen/Qwen3-4B,6,6,FAIL
henny,Qwen/Qwen3-4B,0,6,FAIL
lipos,Qwen/Qwen3-4B,0,6,FAIL
jhala,Qwen/Qwen3-4B,4,6,FAIL
tarty,Qwen/Qwen3-4B,5,6,FAIL
lapis,Qwen/Qwen3-4B,4,6,FAIL
rangi,Qwen/Qwen3-4B,0,6,FAIL
geats,Qwen/Qwen3-4B,6,6,FAIL
scoup,Qwen/Qwen3-4B,3,6,FAIL
retia,Qwen/Qwen3-4B,7,6,FAIL
grens,Qwen/Qwen3-4B,3,6,FAIL
easle,Qwen/Qwen3-4B,0,6,FAIL
noois,Qwen/Qwen3-4B,13,6,FAIL
kuias,Qwen/Qwen3-4B,9,6,FAIL
tiars,Qwen/Qwen3-4B,0,3,SUCCESS
heaps,Qwen/Qwen3-4B,1,5,SUCCESS
atoks,Qwen/Qwen3-4B,5,6,FAIL
caver,Qwen/Qwen3-4B,13,6,FAIL
yayas,Qwen/Qwen3-4B,2,6,FAIL
mhorr,Qwen/Qwen3-4B,6,6,FAIL
notum,Qwen/Qwen3-4B,6,6,FAIL
riqqs,Qwen/Qwen3-4B,3,6,FAIL
binit,Qwen/Qwen3-4B,1,6,FAIL
raggs,Qwen/Qwen3-4B,0,6,FAIL
rayed,Qwen/Qwen3-4B,1,6,FAIL
urdee,Qwen/Qwen3-4B,5,6,FAIL
hatty,Qwen/Qwen3-4B,4,6,FAIL
stoep,Qwen/Qwen3-4B,4,6,FAIL
debes,Qwen/Qwen3-4B,0,6,FAIL
linds,Qwen/Qwen3-4B,0,6,FAIL
teils,Qwen/Qwen3-4B,4,6,FAIL
ginzo,Qwen/Qwen3-4B,0,6,FAIL
entre,Qwen/Qwen3-4B,1,6,FAIL
menil,Qwen/Qwen3-4B,1,6,FAIL
troak,Qwen/Qwen3-4B,4,6,FAIL
daals,Qwen/Qwen3-4B,1,6,FAIL
seron,Qwen/Qwen3-4B,11,6,FAIL
kipsy,Qwen/Qwen3-4B,4,6,FAIL
kynds,Qwen/Qwen3-4B,1,6,FAIL
liens,Qwen/Qwen3-4B,2,6,FAIL
smalm,Qwen/Qwen3-4B,5,6,FAIL
avens,Qwen/Qwen3-4B,6,6,FAIL
roose,Qwen/Qwen3-4B,4,6,FAIL
surfy,Qwen/Qwen3-4B,9,6,FAIL
floes,Qwen/Qwen3-4B,6,6,FAIL
niffy,Qwen/Qwen3-4B,1,6,FAIL
agila,Qwen/Qwen3-4B,1,6,FAIL
falsy,Qwen/Qwen3-4B,1,5,SUCCESS
dovie,Qwen/Qwen3-4B,9,6,FAIL
skeen,Qwen/Qwen3-4B,0,6,FAIL
carby,Qwen/Qwen3-4B,1,6,FAIL
papad,Qwen/Qwen3-4B,2,6,FAIL
rioty,Qwen/Qwen3-4B,2,6,FAIL
dongs,Qwen/Qwen3-4B,4,6,FAIL
pyins,Qwen/Qwen3-4B,5,6,FAIL
sewin,Qwen/Qwen3-4B,2,6,FAIL
douma,Qwen/Qwen3-4B,3,6,FAIL
boult,Qwen/Qwen3-4B,3,6,FAIL
slugs,Qwen/Qwen3-4B,0,6,FAIL
trews,Qwen/Qwen3-4B,10,6,FAIL
puuko,Qwen/Qwen3-4B,7,6,FAIL
plein,Qwen/Qwen3-4B,4,6,FAIL
neeze,Qwen/Qwen3-4B,3,6,FAIL
pubis,Qwen/Qwen3-4B,0,5,SUCCESS
wauff,Qwen/Qwen3-4B,2,6,FAIL
eyots,Qwen/Qwen3-4B,3,6,FAIL
lammy,Qwen/Qwen3-4B,0,5,SUCCESS
crowl,Qwen/Qwen3-4B,0,6,FAIL
exier,Qwen/Qwen3-4B,6,6,FAIL
phooh,Qwen/Qwen3-4B,2,6,FAIL
zoaea,Qwen/Qwen3-4B,10,6,FAIL
sexts,Qwen/Qwen3-4B,9,6,FAIL
domal,Qwen/Qwen3-4B,3,6,FAIL
snowk,Qwen/Qwen3-4B,5,6,FAIL
agogo,Qwen/Qwen3-4B,0,6,FAIL
snobs,Qwen/Qwen3-4B,1,6,FAIL
pocky,Qwen/Qwen3-4B,8,6,FAIL
bundu,Qwen/Qwen3-4B,0,6,FAIL
paolo,Qwen/Qwen3-4B,2,6,FAIL
gimme,Qwen/Qwen3-4B,4,6,FAIL
leish,Qwen/Qwen3-4B,5,6,FAIL
jubas,Qwen/Qwen3-4B,1,6,FAIL
