word,num_rows,is_successful
sword,3,SUCCESS
BOOZE,6,SUCCESS
urine,6,FAIL
TRUCK,5,SUCCESS
HORDE,6,FAIL
FORTY,3,SUCCESS
extra,3,SUCCESS
REBEL,6,FAIL
posse,5,SUCCESS
decay,6,FAIL
FLAKE,6,FAIL
foyer,6,FAIL
FROND,4,SUCCESS
ALOOF,6,FAIL
MEDAL,6,FAIL
SWEAT,3,SUCCESS
SNORE,5,SUCCESS
WAGON,6,FAIL
POOCH,4,SUCCESS
TWANG,4,SUCCESS
NOBLY,4,SUCCESS
frame,3,SUCCESS
stern,3,SUCCESS
SONAR,3,SUCCESS
GUSTY,6,FAIL
gland,5,SUCCESS
tubal,3,SUCCESS
RACER,6,FAIL
circa,4,SUCCESS
RABID,6,FAIL
FAIRY,6,SUCCESS
GROAN,4,SUCCESS
genre,4,SUCCESS
bacon,3,SUCCESS
obese,6,SUCCESS
small,5,SUCCESS
SIXTY,6,FAIL
ANIME,6,FAIL
GLEAN,6,SUCCESS
PETTY,6,SUCCESS
great,2,SUCCESS
COMMA,6,FAIL
SWASH,6,SUCCESS
fungi,4,SUCCESS
goose,6,FAIL
BRISK,3,SUCCESS
BRAVE,4,SUCCESS
ROYAL,5,SUCCESS
radar,5,SUCCESS
FEWER,5,SUCCESS
PSALM,4,SUCCESS
CANON,5,SUCCESS
phony,5,SUCCESS
SHACK,4,SUCCESS
KINKY,6,FAIL
GENIE,6,FAIL
FUNKY,6,FAIL
PROOF,6,FAIL
OPINE,5,SUCCESS
loose,5,SUCCESS
relic,3,SUCCESS
tuber,3,SUCCESS
putty,3,SUCCESS
vocal,6,SUCCESS
HARSH,4,SUCCESS
ROAST,6,FAIL
CARRY,6,FAIL
cream,2,SUCCESS
MINCE,3,SUCCESS
clump,4,SUCCESS
SYRUP,6,FAIL
CHART,6,FAIL
MOTOR,5,SUCCESS
MIGHT,6,SUCCESS
TITLE,5,SUCCESS
UNFED,4,SUCCESS
SCARY,4,SUCCESS
shaky,4,SUCCESS
ANGRY,3,SUCCESS
TIGER,3,SUCCESS
OVINE,4,SUCCESS
buxom,5,SUCCESS
ULCER,5,SUCCESS
CHESS,6,FAIL
input,3,SUCCESS
winch,6,SUCCESS
BEZEL,5,SUCCESS
STONY,4,SUCCESS
BUSHY,5,SUCCESS
elope,5,SUCCESS
waste,6,FAIL
wiser,5,SUCCESS
SPOIL,4,SUCCESS
viola,6,SUCCESS
WRONG,6,FAIL
ovary,6,FAIL
DINGY,3,SUCCESS
taunt,4,SUCCESS
RESIN,4,SUCCESS
forgo,4,SUCCESS
ruler,6,FAIL
SLING,3,SUCCESS
HENCE,4,SUCCESS
FLIRT,3,SUCCESS
SCRUM,4,SUCCESS
cliff,4,SUCCESS
usher,5,SUCCESS
WRACK,6,SUCCESS
PANIC,2,SUCCESS
ABLED,4,SUCCESS
jumpy,5,SUCCESS
TEETH,6,FAIL
slack,4,SUCCESS
LARVA,6,FAIL
TORUS,6,FAIL
BLOWN,5,SUCCESS
REVUE,6,FAIL
RESET,4,SUCCESS
hitch,4,SUCCESS
sally,6,FAIL
idler,6,FAIL
kitty,4,SUCCESS
alive,4,SUCCESS
naive,4,SUCCESS
STILL,3,SUCCESS
tonal,4,SUCCESS
PAYER,6,FAIL
arson,3,SUCCESS
heath,5,SUCCESS
POUTY,3,SUCCESS
APTLY,3,SUCCESS
itchy,4,SUCCESS
TERRA,4,SUCCESS
SMEAR,4,SUCCESS
crick,5,SUCCESS
short,5,SUCCESS
PENAL,4,SUCCESS
DEVIL,5,SUCCESS
koala,6,FAIL
scout,5,SUCCESS
aglow,5,SUCCESS
mecca,6,FAIL
fussy,5,SUCCESS
cheer,6,SUCCESS
troll,4,SUCCESS
LEVER,6,FAIL
CHECK,3,SUCCESS
radio,3,SUCCESS
KNEAD,4,SUCCESS
ALPHA,5,SUCCESS
built,4,SUCCESS
SCOLD,3,SUCCESS
VITAL,6,SUCCESS
PINKY,3,SUCCESS
swill,6,FAIL
tweak,3,SUCCESS
CAPUT,5,SUCCESS
tilde,4,SUCCESS
cavil,5,SUCCESS
dopey,5,SUCCESS
VISIT,6,FAIL
gruel,5,SUCCESS
FAVOR,5,SUCCESS
halve,6,FAIL
scamp,5,SUCCESS
